simulation	mean	HPD95.lower	HPD95.upper	stdev	ESS
al2_0	0.373400129945911	0.345841033587026	0.399409179728507	0.0140522814645318	1680.04843524082
al2_1	0.155977815255816	0.130025327847062	0.181322516452125	0.0130763164729576	1758.28879560699
al2_10	0.0477988369434998	0.0329845143826003	0.0670241065988776	0.00882694683615133	1567.30172498111
al2_100	0.229528342375353	0.195354378837813	0.265259041514653	0.0179318447163715	1801
al2_101	0.234972374078386	0.203085618331676	0.270145682635289	0.0172333285886275	1801
al2_102	0.0993401544208449	0.0913163517101117	0.107775077358408	0.00424779569157373	1801
al2_103	0.203252198871699	0.177751257041729	0.231732070514117	0.0139944374493682	1794.07379560812
al2_11	0.39489440463048	0.357803083613392	0.436894116114967	0.0199768424323384	1762.4220493148
al2_12	0.494420230230338	0.453665568026502	0.539925165270404	0.0221326472534421	1801
al2_13	0.0822191084518234	0.0762428720697263	0.0875455758842631	0.00297286876501109	1801
al2_14	0.214500440703223	0.181724931352596	0.247496249904804	0.0167930724621843	1765.52482844645
al2_15	0.261207313481048	0.204529962485879	0.317520269414023	0.0282489067342076	1801
al2_16	0.310638374350882	0.26729697768847	0.355363500567548	0.0229725198518385	1637.35510779529
al2_17	0.13381985252233	0.116781768338249	0.148422634565764	0.00815185883466456	1801
al2_18	0.181734056825089	0.144306078276303	0.228187244469067	0.0215806208437447	1765.30083182334
al2_19	0.076568217822921	0.0591426789983517	0.0950240221737708	0.00932362083540303	1681.15323040392
al2_2	0.255794185192709	0.21488770077839	0.298435856991807	0.0216649619919603	1801
al2_20	0.335549829627858	0.298377667696165	0.368868688248612	0.0180995556567996	1713.67240033179
al2_21	0.353104235901481	0.294034058979051	0.406049289157574	0.0286460685010229	1763.25279005015
al2_22	0.178136585391254	0.171619730002663	0.184986284851753	0.00347628277938663	1801
al2_23	0.210761034737804	0.173921298785017	0.246415154639495	0.0185435712549131	1801
al2_24	0.516474097076342	0.4656971267071	0.57227315517667	0.0275594009777573	1801
al2_25	0.163777463765266	0.14906908431534	0.177846650416	0.00740170381917466	1523.33399086144
al2_26	0.133947782253787	0.102901928004833	0.169084398568241	0.0168408676072804	1801
al2_27	0.0220745538150343	0.00824140032451723	0.0392923760013988	0.00825284726856106	1801
al2_28	0.411118361979452	0.360088680911504	0.462111126606553	0.0264159363405036	1790.26417455172
al2_29	0.515508782930384	0.484903172606725	0.552384011835303	0.017577960817491	1801
al2_3	0.231975610886261	0.201175923131859	0.264977494570117	0.0165283339611108	1690.5905361612
al2_30	0.232500271832747	0.187022614590502	0.283140690753165	0.0251010274052201	1393.86759751522
al2_31	0.2896575908014	0.272619821805374	0.304328929113181	0.00813834991550221	1801
al2_33	0.107770212879437	0.0758252509371389	0.14272965927307	0.0173448871693329	1801
al2_34	0.258312254598056	0.244287714554122	0.272154002967778	0.00703156188293618	1575.14930761927
al2_35	0.10646871425534	0.0995546897230014	0.11296476568522	0.00341630924789798	1486.6411722096
al2_36	0.23195068224472	0.185912652738232	0.28004219672029	0.0249883531312631	1174.66082645576
al2_37	0.343159519077378	0.322281839085571	0.361834138709092	0.00995285345677348	1801
al2_38	0.275609421240418	0.236355315524305	0.316674737668511	0.0206084136136644	1780.99363061735
al2_39	0.514665675733254	0.500252889966405	0.527206573193027	0.0069454538918285	1798.92385431477
al2_4	0.114754068598546	0.102292315834919	0.128527409677068	0.00680606910545226	1801
al2_40	0.265965067531124	0.220437498372269	0.307975521132613	0.0223249558737801	1560.61729053198
al2_41	0.259106714562413	0.231033295074593	0.282977058894328	0.0134167576214091	1609.26128039809
al2_42	0.206185190442038	0.157773784995235	0.251698289946958	0.0238847614141536	1797.3188876133
al2_43	0.732845478024658	0.681055623581795	0.784594743589848	0.0263743040214395	1622.20778858313
al2_44	0.240989825398164	0.205457850730241	0.277910845121241	0.0187007521512592	1801
al2_45	0.194992214661303	0.157580570035309	0.233583603918812	0.0198635329255156	1801
al2_46	0.335380844526832	0.29965735584023	0.371547454099794	0.0184799424711427	1801
al2_47	0.185215679628362	0.164316735878981	0.205236631127646	0.0104604126732757	1801
al2_48	0.390227679395692	0.348517234883613	0.431134192598916	0.0212781742356588	1734.1119881809
al2_49	0.023371521526594	0.0116931629672387	0.0362963849687917	0.00634929013061954	1801
al2_5	0.235189555090402	0.216770949057059	0.252885411739073	0.00967476726883537	1801
al2_50	0.313299501087467	0.300057944666388	0.325640545309985	0.00647768307444905	1794.45277716227
al2_51	0.652396227243548	0.620664589277441	0.682146167203176	0.0154479851254892	1603.51178438789
al2_52	0.234236893528706	0.196137725682088	0.277070702379074	0.0206631109349177	1801
al2_53	0.209473141946973	0.198443497162094	0.22095925008512	0.00559529786989257	1801
al2_54	0.377582921144188	0.326560643860718	0.419563922152141	0.0235307029924722	1801
al2_55	0.432335340314641	0.420155426085957	0.445656092708438	0.00661941371714804	1801
al2_56	0.16121277435098	0.120133904825464	0.207439840369508	0.0227939396168699	1383.59754637744
al2_57	0.306608652387878	0.256417253136976	0.356786951673555	0.0255939117203741	1801
al2_58	0.0928579821510016	0.0887194854446478	0.0969495920922509	0.00209710676884028	1699.05630851207
al2_59	0.175269182572157	0.153047797767402	0.197363046841401	0.0113682419922193	1801
al2_6	0.171370289876291	0.126197541013725	0.212110042735988	0.0221385858770058	1801
al2_60	0.234598554939221	0.195732879689249	0.276161031400263	0.0211880482540599	1801
al2_61	0.359687530090591	0.347566741285976	0.371579051298165	0.00611711513715622	1801
al2_62	0.318082512839982	0.309933219375834	0.327029056995552	0.00438078762530843	1683.92923155761
al2_63	0.217765258214147	0.177418613970383	0.260377375994019	0.022257317687341	1801
al2_64	0.336246440858285	0.283274299259044	0.391922803194078	0.0281695005571342	1801
al2_65	0.171773902495325	0.136670539374435	0.2083334712984	0.0189863041789585	1665.20139030997
al2_66	0.430152666480716	0.38595205523715	0.477508510543582	0.0236123858394449	1689.2713793322
al2_67	0.579070196977621	0.522574772472014	0.629608723392348	0.0274841506007528	1786.81181330974
al2_68	0.181578009113503	0.164806444322676	0.199590669322379	0.00905863082554095	1801
al2_69	0.365704005963664	0.30491062149783	0.426679858359106	0.0315931006363897	1719.11202102165
al2_70	0.0463027370643192	0.0242288310124379	0.0695507056210106	0.011863883912066	1743.31569449963
al2_71	0.126496127617105	0.109681025359045	0.139941726246352	0.00765263555652223	1627.68969298575
al2_72	0.419607184390346	0.378620817411056	0.459733408322915	0.0208125078245421	1785.42269908375
al2_73	0.393347120193992	0.378359480218043	0.406904920970521	0.00725135888949068	1634.67263565347
al2_74	0.369571534048703	0.317647966210949	0.419558020508608	0.0267716665687436	1662.52449907565
al2_75	0.203816507064432	0.164454342469671	0.255389043476248	0.0233320455007057	1715.92200010376
al2_77	0.227393789978734	0.187406716797424	0.27301265423539	0.0217802724406382	1801
al2_78	0.0567600539286725	0.0337431855884284	0.08277558082504	0.0127676287304022	1722.73277201466
al2_79	0.0414963536797593	0.0305782183031682	0.0531891744318008	0.00582197296916985	1778.12890755027
al2_8	0.0531915632097506	0.0359781353063287	0.07059066043416	0.00884322164253274	1801
al2_80	0.119233541650177	0.102506753517831	0.140878806355274	0.00971183969773284	1801
al2_81	0.0883800139102384	0.0713349832330956	0.106461370707548	0.00895474385815379	1667.83131456643
al2_82	0.233235798628005	0.188454264903489	0.275258660748888	0.0228401319906574	1801
al2_83	0.227457930586084	0.198431773103404	0.255005950860543	0.0140326972365254	1801
al2_84	0.11256490183687	0.0817182692371815	0.140601924873747	0.0154770129932166	1733.06840396349
al2_85	0.120538828067057	0.0786517815122062	0.158527259029008	0.020602435858207	1457.47882746228
al2_86	0.491367403426833	0.457057709331297	0.527078789487924	0.0178915265372632	1801
al2_87	0.422604883831479	0.413949454351041	0.430978826769663	0.00439624221355638	1769.70935724777
al2_89	0.155069997377658	0.115017073391087	0.200510569556607	0.0222819548264739	1721.0531659445
al2_9	0.251001454569771	0.240168718906278	0.260781280269583	0.00528016707602742	1801
al2_90	0.0327284564024275	0.0174301115167207	0.0521019785803079	0.00894125879963771	1424.27694708246
al2_91	0.160476678685493	0.14305410463948	0.179466256672712	0.0092734496047277	1801
al2_92	0.135884101565985	0.102057911277279	0.166364317807325	0.0167679771058489	1801
al2_93	0.293692053137575	0.281307225974	0.307539049422936	0.00683236967684029	1801
al2_94	0.10844280510181	0.0888092480942645	0.130493759176198	0.0105631196294173	1638.12067389093
al2_95	0.196045590707795	0.160661578175345	0.233959389104825	0.0189016346276168	1801
al2_96	0.229032415939958	0.178895020913926	0.274074180960214	0.0243171928131834	1677.94534856086
al2_97	0.0698680933188598	0.057631915887002	0.0824630628005325	0.00633458198212358	1801
al2_98	0.412985487568816	0.37460610088096	0.452912815807956	0.0202203542400036	1801
al2_99	0.114181173741963	0.103729171978839	0.124471851097319	0.00526116070656543	1785.25587490813
