parameter	al2_0	al2_1	al2_2	al2_3	al2_4	al2_5	al2_6	al2_7	al2_8	al2_9	al2_10	al2_11	al2_12	al2_13	al2_14	al2_15	al2_16	al2_17	al2_18	al2_19	al2_20	al2_21	al2_22	al2_23	al2_24	al2_25	al2_26	al2_27	al2_28	al2_29	al2_30	al2_31	al2_32	al2_33	al2_34	al2_35	al2_36	al2_37	al2_38	al2_39	al2_40	al2_41	al2_42	al2_43	al2_44	al2_45	al2_46	al2_47	al2_48	al2_49	al2_50	al2_51	al2_52	al2_53	al2_54	al2_55	al2_56	al2_57	al2_58	al2_59	al2_60	al2_61	al2_62	al2_63	al2_64	al2_65	al2_66	al2_67	al2_68	al2_69	al2_70	al2_71	al2_72	al2_73	al2_74	al2_75	al2_76	al2_77	al2_78	al2_79	al2_80	al2_81	al2_82	al2_83	al2_84	al2_85	al2_86	al2_87	al2_88	al2_89	al2_90	al2_91	al2_92	al2_93	al2_94	al2_95	al2_96	al2_97	al2_98	al2_99
μ	0.009382463044384759	0.0029804082822229524	0.003334672927925802	0.021591029939940935	0.0073210445580763825	0.009162140003388228	0.0014691679877526541	0.007690586073203704	0.00639486567416939	0.034111575720084955	0.0017116140876324462	0.00799570576358213	7.286487365250159e-4	0.008661815805675595	0.0020167537611604303	0.0020388973847446454	0.010400943054259693	0.02261862153936313	3.7385107198661943e-4	0.034795908721314245	0.020691381749075276	0.00262140455165783	0.0076149342907921545	0.0025772593897365158	0.008427447565982384	0.004944376421752208	0.002424303012796282	0.006926007857864092	0.021677931553488863	0.13662893440843618	0.002677816631454744	0.005417420849972233	0.007662827453102425	0.017176977960025763	0.01423042777529838	0.005927489890684911	0.05620708494142626	0.005347674495462842	0.0011075152989121928	0.03269497642241956	0.011694271432083984	0.0029797270349667844	0.0053233268924538345	0.009417641895394383	0.02427613415534516	0.007092494716305224	0.01273496374879258	0.009074797384570718	0.011031612682483039	7.251882959464673e-4	0.002537930635426445	0.02353243310349033	0.007615217272103801	0.06670887249974632	0.0014588808787521915	0.07231798328550579	0.0029577431373884046	0.0019111009896150683	0.0028761536764714338	0.00471169280892959	0.010771608568535304	0.0018790787958234201	0.004895505815856386	0.02075258351744657	0.011125701914524578	0.006876998114101568	0.003487020671664676	0.002285874174207834	0.07895252225726093	0.0038412899659160575	0.0033931789196406706	0.00922127086041877	0.009378737789648947	0.001291836024904479	0.0013711077469815932	0.0015673318754453487	0.003157698748074174	0.049081145668638824	0.013726720335112191	0.08408065867269955	0.014665838611143176	0.0020506949470406165	6.025803430215698e-4	0.0032636096522346606	0.016940101677023693	0.0038564411979702473	0.009229810061631379	0.0026113204660081863	0.003466886032693934	0.011931090603569575	0.002451329646015219	0.003358418760142777	0.028144051426824728	9.560678227002198e-4	0.019430930330495103	8.203438760671014e-4	0.025627322015905556	0.015471938080137183	0.0023533528221897945	0.001667322172412026
Θ	31.981273513061723	23.758866731031212	8.065534626294108	41.96144455792109	965.9967409565132	475.0022311024291	115.22403940331372	18.849573410529	17.218386401322324	1.4562337987306535	31.060796077746787	0.18499400023962517	5.366693441233976	193.21818902408	186.73590823957133	2.0093008345693883	1989.8626484203735	7.040817230144222	101.17775818619478	17.145561325403268	4.3677397398039055	42.98508189353429	27.131812638604888	202.28038485463657	37.86233508504968	15.00781422309567	400.67993071156144	79.67489206647463	10.073219187021992	2.7094714825603416	21.996022904864812	22.901330016751597	19.095513294660257	45.4564681992564	105.91855981783621	2.4188919289335216	10.79006002133785	16.70295156128721	3.7111147391142203	18.216967927070126	13.059560009684297	6.357484327200617	29.800562920166037	4.970495404294152	556.870960311285	100.24778112354812	18.131345952619412	69.59136701417013	3.048301221905992	18.40030299214719	0.7193481444300196	3.031003121881783	345.30442335329064	6.192735262111583	165.5762607312432	15.95402638548227	22.15067959293211	34.173024948810635	12.656683305117374	16.637238070894952	474.62494603272705	110.52219828307408	186.69082480217355	15.226038674703721	0.6673674217896577	225.33519568309427	11.595950409096398	23.85643051090334	73.59405749522583	99.09316355802423	232.20011758513337	22.498157290454866	39.06658923381555	119.85328790579682	124.9814145232118	1990.3768087769963	1.687287898450312	3.163602483813851	46.80795812002374	138.73618288940614	429.4807793993088	46.02894940039824	4.341997849315709	9.680189485343037	64.61176346846693	27.071953462981437	81.86249845250697	1671.6908981361576	275.50536109460467	59.56227056013134	3.8371959077293525	10.459789601119835	59.94002315540577	171.5286630984423	2.796496088992253	83.18327767769509	0.4793983046132998	0.8237264846571132	0.20464333743207677	24.64911853884117
r_0	0.45837076644479763	1.2199597934224657	0.7476899225736114	0.5768046618909897	2.6283822041823113	0.5320795908613398	0.3043341312000619	1.0781153198200883	1.0589559164709228	0.4381266466221104	2.7071386894213	1.8661912949042336	1.6817742040113424	0.23991875936546878	1.2649453436845937	0.7250423633996269	0.8269206408183081	1.6641591894843237	1.2536433666801807	1.7053266129896463	0.836627522958048	0.7596234037561889	1.3406908371782686	2.1404753120312354	0.9843282267364376	0.5163337975422873	0.7732448881560902	0.6071235921207554	0.1311189086993642	2.0970340035925856	1.285812424355363	1.843402598584445	0.6707591738252525	0.8936343435810382	0.7794177031377104	1.225134039391492	1.5224831520925404	0.21968382101471848	0.36331405615186935	0.18121597376070048	1.1352518937725387	1.6258877261272255	1.0678225452544503	1.2479745795693737	1.6675471600667056	0.9047138218563873	2.2933017087940444	1.9870776157595482	0.4422481717451228	2.1337672131682575	0.7552321386606369	0.22594774163727904	0.6348119272156793	0.5055974135664612	0.776994114037143	1.9270792641912302	2.1882916932627534	0.7351090505699612	0.5600500244725819	0.4328243748343739	1.0576330531883185	0.6397724928878908	0.5787946548275534	1.2520482245510556	1.816717443769295	0.57978159623453	1.8103159232752293	2.215956688336096	0.3218028625024822	0.16021335205458426	2.243117076710913	0.8861419707021638	0.41034134040576303	0.2930020888670697	0.9848929293309205	1.3091496665997209	2.0271897026977124	0.46472874692740207	0.9100180484753878	0.42889302630899645	2.131381754692465	0.7841688422073299	1.7004085570486187	0.6068461949980538	0.980090992750362	1.4046536049127467	2.2214645362207475	1.6461212545672614	0.6501302741729899	0.7665182850518732	0.713512873905848	1.7448346318855614	2.7606028670758844	1.4007470188445528	1.8444616629801611	1.1818816337718756	0.3892344890118382	0.3664542414273037	1.169039680207851	0.8008347055584215
r_1	1.2708146167776013	0.8900201032887672	1.1261550387131944	1.2115976690545054	0.18580889790884447	1.23396020456933	1.347832934399969	0.9609423400899559	0.9705220417645387	1.280936676688945	0.14643065528934998	0.5669043525478833	0.6591128979943289	1.3800406203172657	0.8675273281577032	1.1374788183001865	1.086539679590846	0.6679204052578382	0.8731783166599096	0.647336693505177	1.0816862385209762	1.1201882981219056	0.8296545814108658	0.42976234398438223	1.0078358866317811	1.2418331012288566	1.1133775559219552	1.1964382039396224	1.434440545650318	0.45148299820370735	0.8570937878223184	0.5782987007077776	1.1646204130873739	1.053182828209481	1.1102911484311448	0.8874329803042541	0.73875842395373	1.3901580894926409	1.3183429719240656	1.4093920131196498	0.9323740531137308	0.6870561369363873	0.9660887273727748	0.8760127102153131	0.6662264199666472	1.0476430890718065	0.35334914560297787	0.506461192120226	1.2788759141274386	0.4331163934158714	1.1223839306696817	1.3870261291813606	1.1825940363921605	1.2472012932167695	1.1115029429814285	0.536460367904385	0.40585415336862324	1.1324454747150197	1.2199749877637092	1.2835878125828133	0.9711834734058408	1.1801137535560549	1.2106026725862233	0.8739758877244722	0.5916412781153525	1.2101092018827349	0.5948420383623855	0.39202165583195214	1.339098568748759	1.419893323972708	0.3784414616445435	1.056929014648918	1.2948293297971185	1.3534989555664652	1.00755353533454	0.8454251667001397	0.4864051486511439	1.2676356265362991	1.0449909757623062	1.2855534868455016	0.4343091226537674	1.107915578896335	0.6497957214756906	1.1965769025009731	1.009954503624819	0.7976731975436266	0.3892677318896262	0.6769393727163694	1.174934862913505	1.1167408574740636	1.143243563047076	0.6275826840572192	0.11969856646205794	0.7996264905777235	0.5777691685099194	0.9090591831140623	1.305382755494081	1.3167728792863482	0.9154801598960746	1.0995826472207892
κ_0	2.664686923647272	2.4160195497163937	1.9551796808258797	2.824703891130396	5.6923142337984345	1.8283197446356307	3.6883016651462963	2.338866091803043	4.418301586942009	3.503993870961279	2.324104728445349	0.9837199850182763	1.3714338343314325	1.9113963709846995	2.675740154231379	8.885565201208964	0.8046370021335335	5.600807877496893	3.4393066131757353	5.160544088199849	4.744040136851298	3.4845830443242094	2.455093329235054	2.57618297755158	2.064901340421763	2.0244753525535772	7.874597829850258	0.989451290499331	6.094338288014039	2.2078823800756147	4.375329362693613	1.6114827858604819	0.9866778816827435	3.7646478564191153	3.1456777704764414	2.041221603102562	1.6745149489124151	3.852710176874474	2.2749897234604637	4.985302478016513	1.5047352761178154	4.104793182590381	2.001063351706698	4.181695479279977	2.9016529961322957	2.36823223818096	4.526535695632925	3.220244989338146	0.5386242848708496	3.1398431026410925	2.077841553522009	5.605658346234977	5.1406049244376	3.330382115943618	1.84658394988015	2.745125021992962	3.4263585216376535	6.894009882093844	3.1907556234945704	2.4479646960104153	1.0859012457789012	2.2661846626633064	2.7124880223704912	4.360987929869364	2.0036444629023915	2.455999682416164	4.844993082320704	2.5123785955589835	4.529398655727096	5.669747481861562	4.884988431007511	2.1389692369388644	2.2807894121450953	1.2699303484381301	4.1846413671354306	1.0933375774207708	5.812279108973874	1.9732278424784069	2.492589235085299	5.22617921593603	2.258363273677218	4.599688025766131	2.842682747251152	4.279380136779171	1.9463198306937577	1.451555835346069	1.902955118493499	1.9265326424566727	2.058760086424944	3.8125434963908194	3.73422548317145	2.2356277472603203	1.779677367082644	3.216996470242693	2.0118888119036984	2.392946408182642	3.4911087431666488	1.4756279929388432	3.5651917788333187	1.8748570577393016
κ_1	1.683413615358407	16.126952164534465	5.548254378361764	1.032738844480346	6.349601513926302	3.577879107419142	1.9692477638560515	3.416169236944196	2.439784883069928	2.8023965660033032	2.68676858118599	7.832595115127347	1.865010249447682	4.965736722824018	2.923179085019424	1.5040849428737428	10.850368925371985	1.780636516935312	3.1991871375452248	1.8036012903089031	3.176372618363983	2.635358318416674	2.539889912141818	2.136299483461827	3.358537645894295	2.0559819373493764	4.0276914305435625	1.5808632572718673	3.2288374295869584	2.75046656089453	3.191707526278683	3.326358533085894	5.734736493911025	3.936164591785607	1.7426457446902284	1.7968156669303181	3.630014256693458	4.360457457561797	7.173297504929261	3.2348421376544967	1.2849549490291554	1.5036834048618464	3.0157971326040003	1.5198013882273353	2.205213463059012	2.9116598230992423	2.803789738059507	3.107735847133935	2.3143182389270462	2.5422934755529463	3.2151574740395183	1.3440641500865427	3.6362200234769855	8.866941137705775	0.8165320448931248	3.935753930650632	1.8170510767566164	3.2006739240578965	1.6892055438180322	2.480593079309958	2.3215639113896804	1.5789461817575594	2.6649819995549957	3.183492068443131	3.852973801843606	1.6745997446675391	1.5234805696726839	3.7169639172778957	1.7557104433228603	2.7211034015868605	2.4814834719176067	1.2823045995390827	3.246675113483268	4.037122044463796	4.1348305184733265	2.9922949014106157	2.082878664828718	2.1099085813456475	3.312611989485727	3.2219733888660893	6.947793202192935	1.9997525435595813	4.298141355657519	3.8800811324771884	1.3233354440587464	4.510680236223774	5.370422051329302	3.7209216522939186	5.4966259013527425	2.1466158784349476	2.314415498318655	4.093436757786401	3.7280129944762996	3.948201214798483	3.8737139042506947	5.1339694356507515	2.1592962179966353	0.8412665182216426	3.826902419027695	1.8197422607653397
π_0_0	0.14650740708610605	0.26569807566610315	0.10181897479382847	0.3549926480687623	0.5521654343903253	0.42834991832956454	0.3185548362718531	0.36460585640440363	0.31090732006792243	0.3907183107439263	0.45782899804396093	0.2917040263429831	0.20099047828354674	0.25442759695971245	0.2579796744136193	0.23694245863360516	0.317189489849208	0.36303972187288597	0.0555358329735459	0.14710675558500438	0.34776589493172355	0.0962010946904168	0.395871508578642	0.07147277985694823	0.18889327424846808	0.037685672628824975	0.34076155154914495	0.32180621812043514	0.10702079342958956	0.12547800792573097	0.1257450774988411	0.30340616542973026	0.15228267797097317	0.2827156698006037	0.3846517471033268	0.44226778304810116	0.03940013772179374	0.06074071859112521	0.4607054259684065	0.25182005868081203	0.107179684459518	0.18039316538023017	0.12150357261241028	0.2901482349065027	0.5400843293997928	0.035129426247030505	0.3982218719004194	0.07166031476593758	0.2796642703135205	0.3429812576800425	0.4641494389974244	0.11370378051295775	0.1482604758474592	0.2821983999285855	0.4205537353449408	0.11286060192049524	0.3445263914171134	0.23318286953929	0.19543428760775194	0.15454872835480155	0.2161788007930179	0.46612498054726037	0.24171271275424525	0.4379694340181313	0.34193055556514546	0.13983476789182783	0.09021508096270237	0.2971467765783735	0.1351751593394927	0.15889386301806988	0.029176009068910786	0.339828862522474	0.39449810421520864	0.2880922086924464	0.07664315193268968	0.5643125840278277	0.28846914162185333	0.5949775400888737	0.2783031522138794	0.13089419685809484	0.3609812381027681	0.540940136297662	0.6619669206660562	0.1251753078734443	0.05314592088796998	0.15677660446094024	0.277932907030835	0.20685627917277208	0.12163235295769738	0.169574914911046	0.3353460706671687	0.15929311651181566	0.14137025170411266	0.37347253496168004	0.19632384043345227	0.4247501053954027	0.23840812410925538	0.10851688454317758	0.22869819773621225	0.09452558269176625
